Country Name,Country Code,Region,Income group,Year,Energy use (kg of oil equivalents per capita), Population ,CO2 emissions (metric tons per capita),Renewable energy consumption (% of energy),"GDP per capita, PPP",Electric power consumption (kWh per capita),Access to electricity (% of population),Forest area (% of land)
Qatar,QAT,Middle East & North Africa,High income,1990,13698.28627," 476,445 ",24.71373821,0,,9587.675388,100,0
United Arab Emirates,ARE,Middle East & North Africa,High income,1990,10979.65405," 1,860,174 ",27.95924521,0,71376.15091,8355.669953,100,3.44973247
Bahrain,BHR,Middle East & North Africa,High income,1990,10555.27079," 495,931 ",25.05885496,0,22694.90726,15621.12471,,0.318840578
Curacao,CUW,Latin America & Caribbean,High income,1990,10030.15131," 145,400 ",,0,,4662.998624,100,
Iceland,ISL,Europe & Central Asia,High income,1990,8907.791984," 254,826 ",7.842665191,54.67215495,21637.48664,16148.27372,100,0.160598508
Luxembourg,LUX,Europe & Central Asia,High income,1990,8874.105015," 381,850 ",26.19765877,1.721832398,29680.28752,13667.67055,100,
United States,USA,North America,High income,1990,7671.773066," 249,623,000 ",19.32275118,4.175462186,23954.47935,11713.3317,100,33.02230821
Canada,CAN,North America,High income,1990,7602.674931," 27,791,000 ",15.65907038,22.02075369,20107.83069,16109.27998,100,38.29907264
Brunei Darussalam,BRN,East Asia & Pacific,High income,1990,6673.060649," 258,785 ",23.93323802,0.671759471,54726.56428,4324.052785,100,78.36812144
Estonia,EST,Europe & Central Asia,High income,1990,6232.731998," 1,569,174 ",,3.356078624,,5755.894502,100,52.04057561
Russian Federation,RUS,Europe & Central Asia,Upper middle income,1990,5928.660986," 148,292,000 ",,3.751939258,8012.802317,6673.178594,100,49.3564654
Finland,FIN,Europe & Central Asia,High income,1990,5691.571186," 4,986,431 ",10.37716896,24.50843148,18158.93858,12485.68365,100,71.81785351
Sweden,SWE,Europe & Central Asia,High income,1990,5514.55753," 8,558,835 ",6.069368319,34.06199197,20107.97723,15836.03376,100,68.38962811
Australia,AUS,East Asia & Pacific,High income,1990,5061.508459," 17,065,100 ",15.45288167,8.009577159,17338.4672,8527.228085,100,16.73209846
Norway,NOR,Europe & Central Asia,High income,1990,4966.893577," 4,241,473 ",7.429148081,59.17374642,18442.12536,23353.91502,100,33.21615282
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,1990,4900.006547," 1,221,900 ",13.93393977,1.193023774,7921.078926,2682.707259,82.70045471,46.92007738
Palau,PLW,East Asia & Pacific,High income,1990,4868.947243," 15,088 ",15.55461294,,,,97.47045136,
Ukraine,UKR,Europe & Central Asia,Lower middle income,1990,4856.585851," 51,892,000 ",,0.650122965,6763.203058,4787.481693,98.00318909,16.00759472
